#  Measured actual beam energy for SALVE-I 
#
#  Correction for beam energy using files:
#   120130_series16_beam_energy.dat
#   120130_series17_beam_energy.dat
#   120130_series19_beam_energy.dat
#   120210_series01_beam_energy.dat
#   120210_series03_beam_energy.dat
#
#  Copyright (c) 2013, rhambach. 
#   This file is part of the TEM-AREELS package and released
#   under the MIT-Licence. See LICENCE file for details.
#
#  Eref [eV]  energy correction [eV]
00.0   0.00000
01.0  -0.05350
02.0  -0.02301
03.0  -0.05329
04.0   0.02018
05.0   0.02079
06.0  -0.08526
07.0   0.03818
08.0   0.00452
09.0  -0.16733
10.0   0.04961
11.0   0.02775
12.0   0.03003
13.0  -0.00982
14.0   0.07040
15.0  -0.04303
16.0   0.02993
17.0  -0.10601
18.0   0.04274
19.0  -0.02934
20.0  -0.00946
21.0  -0.16238
22.0  -0.16809
23.0  -0.09308
24.0  -0.02297
25.0  -0.20117
26.0   0.02475
27.0  -0.04758
28.0  -0.09164
29.0  -0.11466
30.0  -0.01080
31.0   0.11876
32.0   0.12536
33.0   0.05669
34.0   0.03501
35.0   0.04014
36.0   0.02413
37.0   0.07000
38.0   0.06095
39.0   0.09257
40.0   0.03706
41.0  -0.10554
42.0   0.02607
43.0   0.02345
44.0  -0.10345
45.0  -0.03962
46.0  -0.08013
47.0  -0.19369
48.0  -0.16833
49.0  -0.12234
50.0  -0.07124
51.0   0.02316
52.0  -0.12733
53.0  -0.02824
54.0  -0.11281
55.0  -0.01739
